n_crash_reports,contains_fatality_words,contains_pedestrian_words,year,day_of_week,hour,day,weekday,month,is_weekend,day_part,distance_to_nairobi,contains_vehicle_words,severity_index,local_crash_density,season,fatality_mention_ratio
1,0,0,2018.0,Wednesday,6.0,6.0,2.0,6.0,0,morning,1.997119265063339,0,0,8126,dry,0.05774016923842708
1,0,0,2018.0,Wednesday,7.0,6.0,2.0,6.0,0,morning,11.240807741386535,0,0,2765,dry,0.05774016923842708
1,0,0,2018.0,Wednesday,9.0,6.0,2.0,6.0,0,morning,3.216995430400325,0,0,6926,dry,0.05774016923842708
1,0,0,2018.0,Wednesday,11.0,6.0,2.0,6.0,0,morning,1.7794336480051374,0,0,7885,dry,0.05774016923842708
1,0,0,2018.0,Wednesday,21.0,6.0,2.0,6.0,0,night,17.54104830253184,0,0,826,dry,0.06271862534519791
1,0,0,2018.0,Wednesday,21.0,6.0,2.0,6.0,0,night,19.647415165313827,0,0,624,dry,0.06271862534519791
1,0,0,2018.0,Friday,2.0,6.0,4.0,7.0,0,night,3.6750653875249806,0,0,7762,dry,0.06271862534519791
1,0,0,2018.0,Friday,5.0,6.0,4.0,7.0,0,morning,6.950819009788472,0,0,3764,dry,0.05774016923842708
1,0,0,2018.0,Friday,5.0,6.0,4.0,7.0,0,morning,14.475427125234807,0,0,2004,dry,0.05774016923842708
1,0,0,2018.0,Friday,6.0,6.0,4.0,7.0,0,morning,11.672886485658145,0,0,1576,dry,0.05774016923842708
1,0,0,2018.0,Friday,6.0,6.0,4.0,7.0,0,morning,1.6271275181299945,0,0,7922,dry,0.05774016923842708
1,0,0,2018.0,Friday,8.0,6.0,4.0,7.0,0,morning,13.629520043887041,0,0,979,dry,0.05774016923842708
1,0,0,2018.0,Friday,8.0,6.0,4.0,7.0,0,morning,2.0274900688080777,0,0,8099,dry,0.05774016923842708
1,0,0,2018.0,Friday,14.0,6.0,4.0,7.0,0,afternoon,5.362541402745351,0,0,4715,dry,0.056882327399044724
1,0,0,2018.0,Friday,14.0,6.0,4.0,7.0,0,afternoon,7.9042239462509025,0,0,3555,dry,0.056882327399044724
1,0,0,2018.0,Friday,15.0,6.0,4.0,7.0,0,afternoon,45.29169840814597,0,0,142,dry,0.056882327399044724
1,0,0,2018.0,Friday,16.0,6.0,4.0,7.0,0,afternoon,14.147601516636083,0,0,978,dry,0.056882327399044724
1,0,0,2018.0,Friday,21.0,6.0,4.0,7.0,0,night,23.89822459664212,0,0,815,dry,0.06271862534519791
1,0,0,2018.0,Monday,6.0,6.0,0.0,8.0,0,morning,8.37689324521096,0,0,1345,dry,0.05774016923842708
1,0,0,2018.0,Monday,7.0,6.0,0.0,8.0,0,morning,40.21410147392351,0,0,327,dry,0.05774016923842708
1,0,0,2018.0,Monday,7.0,6.0,0.0,8.0,0,morning,53.506939875847024,0,0,9,dry,0.05774016923842708
1,0,0,2018.0,Monday,8.0,6.0,0.0,8.0,0,morning,3.891273750427961,0,0,6849,dry,0.05774016923842708
